23	10	21	12	29	9	2
3	17	31	26	33	5	1
32	36	18	3	2	26	1
14	10	5	3	30	27	1
29	4	14	19	1	36	1
6	22	34	26	12	2	1
18	0	0	29	12	23	2
1	27	23	12	2	9	1
33	19	35	31	26	3	1
1	16	8	14	30	12	0
33	35	15	12	26	9	1
36	18	2	21	23	3	0
23	15	17	29	19	12	0
14	24	4	1	2	29	0
14	24	31	1	22	26	1
11	7	5	12	36	30	2
35	19	33	26	9	23	0
5	7	24	25	1	16	0
15	20	29	26	9	3	2
29	8	9	12	26	30	1
35	19	6	26	36	14	1
7	22	16	26	14	30	0
29	31	7	23	12	32	0
9	8	6	23	26	12	1
35	19	10	26	1	3	1
32	16	20	3	24	26	1
6	25	16	12	2	29	1
12	2	29	26	9	19	1
29	24	4	9	12	16	2
3	17	28	12	29	19	2
5	7	23	2	26	27	2
28	17	31	29	21	18	1
14	11	4	9	26	32	1
17	34	36	9	12	26	1
32	34	36	9	2	28	2
3	23	28	6	8	16	1
19	7	9	26	23	31	2
24	31	11	12	29	25	0
5	7	4	29	30	26	1
12	5	19	1	2	3	0
6	14	8	9	13	26	1
14	10	19	1	31	24	1
14	31	24	9	28	20	0
30	33	35	6	13	25	1
9	15	7	26	14	24	2
12	30	21	23	14	36	1
6	22	20	21	24	14	1
19	20	5	24	3	26	2
1	12	25	26	21	31	0
5	7	19	24	3	14	2
31	3	24	26	23	24	1
19	5	33	3	36	1	1
19	15	20	18	36	12	1
33	19	20	26	3	18	2
24	4	1	33	29	5	0
14	4	10	23	16	6	0
4	10	14	1	9	26	2
8	22	27	2	14	26	2
7	9	19	14	23	26	2
10	14	24	2	20	31	1
4	7	19	12	26	36	1
5	19	29	26	30	36	1
9	21	33	2	14	26	0
18	26	36	2	24	29	1
2	4	13	1	18	26	2
9	15	21	2	6	18	1
15	22	34	2	12	29	1
7	17	29	1	12	26	2
2	13	31	9	23	36	1
10	14	24	1	12	27	1
5	7	24	1	12	30	2
1	9	16	12	2	26	0
2	29	11	26	30	33	0
14	23	26	1	12	30	2
14	26	24	1	12	30	1
2	12	29	1	9	26	1
5	7	9	26	12	18	0
18	34	36	12	2	30	1
2	29	12	14	18	35	2
9	26	23	12	29	2	0
1	36	22	12	2	33	1
33	35	30	22	25	36	2
34	23	3	2	12	29	1
14	26	24	12	29	33	1
4	24	31	7	19	29	0
3	14	31	5	19	29	1
19	33	35	14	23	26	0
23	24	0	29	0	0	0
10	24	31	5	29	0	1
19	29	33	23	26	0	1
8	22	32	26	2	0	0
10	24	31	26	0	0	0
32	33	0	23	26	0	0
3	14	31	26	0	0	1
22	27	31	26	5	29	0
32	33	35	26	0	0	0
14	24	0	26	0	0	0
4	14	0	23	26	0	0
10	14	4	29	1	25	1
20	16	28	2	30	26	1
16	20	8	30	33	35	0
3	14	31	33	35	36	0
4	5	29	21	26	23	1
8	16	20	12	30	33	1
9	15	21	2	29	4	1
3	17	28	18	32	36	1
18	34	36	13	11	24	0
23	26	21	12	30	29	0
9	20	28	10	14	23	1
8	16	20	5	10	14	2
10	24	14	16	20	8	1
10	14	19	29	2	1	1
21	15	32	26	12	36	1
3	17	28	12	30	35	1
17	31	24	2	29	21	2
14	0	0	29	0	0	2
24	0	0	12	0	0	1
3	0	0	33	0	0	1
28	22	25	12	2	0	1
21	0	0	26	0	0	0
2	0	0	26	21	23	2
18	32	34	29	0	0	2
34	18	36	9	26	0	0
28	27	22	12	4	3	2
1	6	16	12	18	29	0
24	0	0	9	0	0	0
4	11	24	12	33	29	1
3	17	31	2	12	30	0
2	19	28	1	26	31	2
3	24	31	28	29	33	1
4	5	7	23	26	21	1
29	33	28	18	26	31	1
12	34	35	21	23	26	0
13	17	3	12	30	35	1
33	35	19	10	14	18	2
21	23	26	12	29	33	1
4	5	7	32	6	22	0
18	34	32	1	2	3	0
4	7	24	12	29	33	1
10	14	9	12	21	33	0
12	14	14	20	29	17	0
21	33	3	25	22	16	1
31	0	0	26	0	0	0
23	3	21	29	7	5	2
14	0	0	15	9	0	1
35	0	0	26	0	0	1
8	0	0	14	0	0	2
23	21	0	25	22	16	0
33	12	10	1	36	18	2
21	0	0	22	0	0	1
22	6	8	3	23	1	1
17	0	0	26	0	0	0
10	0	0	29	22	32	0
14	0	0	7	5	13	0
4	8	9	12	29	2	2
23	26	21	13	1	36	2
5	19	8	23	30	2	2
23	21	14	1	31	29	1
14	19	10	6	28	31	1
6	11	28	23	21	12	1
6	22	33	14	12	4	2
23	23	21	1	6	16	0
19	33	35	23	21	1	0
5	7	29	1	36	33	1
31	27	13	2	10	14	1
33	34	12	23	26	21	2
14	10	4	12	36	29	2
14	23	30	29	28	19	2
4	5	11	9	20	0	0
8	16	32	12	30	0	0
8	16	20	12	30	35	2
12	30	35	9	0	0	2
12	30	35	9	0	0	0
12	33	0	0	0	0	0
8	22	25	10	19	24	2
12	13	36	9	0	0	0
2	12	35	26	0	0	2
12	30	0	9	0	0	0
8	16	0	4	14	0	0
5	7	19	26	0	0	2
11	13	24	0	0	0	0
2	10	0	1	12	0	0
19	7	5	26	23	36	0
8	25	27	35	12	33	1
34	32	8	24	31	3	2
24	31	14	5	7	29	0
10	31	35	8	25	28	0
5	19	29	26	36	3	0
33	32	19	30	9	1	2
27	31	10	20	15	33	1
19	33	32	18	36	1	0
16	20	22	35	33	19	0
16	20	6	30	36	32	1
33	28	34	1	21	27	0
3	18	27	13	17	31	0
24	31	10	29	7	5	0
22	25	2	26	30	14	0
18	32	34	26	23	24	1
19	33	35	2	3	17	0
10	19	24	6	8	22	1
24	31	10	18	2	1	0
32	34	36	12	1	9	2
17	28	31	33	34	35	2
21	23	0	35	0	0	0
33	35	32	26	23	21	2
19	0	0	2	0	0	0
6	16	20	30	26	23	1
33	34	35	26	21	0	2
14	24	31	8	6	32	1
10	14	19	12	2	18	1
7	15	19	1	26	12	2
3	17	31	2	12	29	0
19	33	35	1	23	26	0
3	17	23	9	12	29	0
14	24	31	1	22	27	1
1	6	25	2	12	29	1
9	15	29	23	24	26	0
3	24	31	12	26	29	1
